time,vx, vy, vtheta
9.12,-0.4224,0,0
9.13,-0.4176,0,0
9.14,-0.4128,0,0
9.15,-0.408,0,0
9.16,-0.4032,0,0
9.17,-0.3984,0,0
9.18,-0.3936,0,0
9.19,-0.3888,0,0
9.2,-0.384,0,0
9.21,-0.3792,0,0
9.22,-0.3744,0,0
9.23,-0.3696,0,0
9.24,-0.3648,0,0
9.25,-0.36,0,0
9.26,-0.3552,0,0
9.27,-0.3504,0,0
9.28,-0.3456,0,0
9.29,-0.3408,0,0
9.3,-0.336,0,0
9.31,-0.3312,0,0
9.32,-0.3264,0,0
9.33,-0.3216,0,0
9.34,-0.3168,0,0
9.35,-0.312,0,0
9.36,-0.3072,0,0
9.37,-0.3024,0,0
9.38,-0.2976,0,0
9.39,-0.2928,0,0
9.4,-0.288,0,0
9.41,-0.2832,0,0
9.42,-0.2784,0,0
9.43,-0.2736,0,0
9.44,-0.2688,0,0
9.45,-0.264,0,0
9.46,-0.2592,0,0
9.47,-0.2544,0,0
9.48,-0.2496,0,0
9.49,-0.2448,0,0
9.5,-0.24,0,0
9.51,-0.2352,0,0
9.52,-0.2304,0,0
9.53,-0.2256,0,0
9.54,-0.2208,0,0
9.55,-0.216,0,0
9.56,-0.2112,0,0
9.57,-0.2064,0,0
9.58,-0.2016,0,0
9.59,-0.1968,0,0
9.6,-0.192,0,0
9.61,-0.1872,0,0
9.62,-0.1824,0,0
9.63,-0.1776,0,0
9.64,-0.1728,0,0
9.65,-0.168,0,0
9.66,-0.1632,0,0
9.67,-0.1584,0,0
9.68,-0.1536,0,0
9.69,-0.1488,0,0
9.7,-0.144,0,0
9.71,-0.1392,0,0
9.72,-0.1344,0,0
9.73,-0.1296,0,0
9.74,-0.1248,0,0
9.75,-0.12,0,0
9.76,-0.1152,0,0
9.77,-0.1104,0,0
9.78,-0.1056,0,0
9.79,-0.1008,0,0
9.8,-0.096,0,0
9.81,-0.0912,0,0
9.82,-0.0864,0,0
9.83,-0.0816,0,0
9.84,-0.0768,0,0
9.85,-0.072,0,0
9.86,-0.0672,0,0
9.87,-0.0624,0,0
9.88,-0.0576,0,0
9.89,-0.0528,0,0
9.9,-0.048,0,0
9.91,-0.0432,0,0
9.92,-0.0384,0,0
9.93,-0.0336,0,0
9.94,-0.0288,0,0
9.95,-0.024,0,0
9.96,-0.0192,0,0
9.97,-0.0144,0,0
9.98,-0.0096,0,0
9.99,-0.0048,0,0
10,0,0,0
